site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Stubaital - ...,Austria,144.79 km,Mar Jun Jul Sep Oct,148,0,3,12,59,Mar:2 Sep:1 Feb:1 Aug:0 Jun:0 Jul:0 Dec:0 May:0 Apr:0 Oct:0 Nov:0 Jan:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.3016%2047.1359&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.3016,47.1359
Ötz Mittels...,Austria,92.4 km,Apr,147,0,7,32,60,May:2 Apr:1 Jun:0 Mar:0 Feb:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.9148%2047.205&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.9148,47.205
Mugl,Austria,28.08 km,Sep May Jul Mar Aug Jun Nov Oct Apr Jan Dec Feb,146,0,0,0,3,Sep:1 Aug:1 Jun:1 Oct:1 Jul:1 Mar:1 May:0 Apr:0 Feb:0 Nov:0 Dec:0 Jan:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.18612%2047.36095&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.18612,47.36095
Hinterhornalm,Austria,149.23 km,May Jun Apr,146,0,24,73,103,May:1 Aug:0 Jun:0 Jul:0 Apr:0 Nov:0 Sep:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.56533%2047.33392&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.56533,47.33392
Hinterhorn Alm,Austria,151.79 km,Jun,145,0,24,73,103,May:1 Aug:0 Jun:0 Jul:0 Apr:0 Nov:0 Sep:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.5718%2047.333&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.5718,47.333
Hochälpele,Austria,187.89 km,Jul Jun May,140,0,17,38,103,May:2 Jun:2 Jul:1 Aug:0 Sep:0 Oct:0 Feb:0 Apr:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.81375%2047.40268&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.81375,47.40268
Pfänder,Austria,71.58 km,Apr,139,0,0,3,21,Apr:2 Mar:1 Dec:1 Feb:0 Nov:0 Oct:0 Jan:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.7749%2047.4995&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.7749,47.4995
Michaelerberg,Austria,93.48 km,May,133,0,0,2,10,May:2 Jul:0 Apr:0 Oct:0 Sep:0 Aug:0 Jun:0 Mar:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.89495%2047.41195&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.89495,47.41195
Hochlecken,Austria,76.96 km,Jul Sep Aug,127,0,0,1,13,Jul:1 Sep:1 Aug:1 Jun:0 May:0 Oct:0 Apr:0 Nov:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.602%2047.82893&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.602,47.82893
Randegg,Austria,12.25 km,Sep Jul Oct Aug Apr Jun Feb Mar Nov May Dec,123,0,0,0,0,Sep:2 Jul:1 Oct:1 Aug:1 Jun:1 Apr:1 Nov:0 Feb:0 Mar:0 May:0 Dec:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.96017%2048.00367&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.96017,48.00367
