site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Serre Buzard,France,164.26 km,May Mar Apr,19,0,5,8,14,May:0 Apr:0 Mar:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.544717%2044.639733&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.544717,44.639733
Moucherotte,France,182.68 km,Aug Jun Jul Sep May Apr Mar,19,0,5,8,12,Aug:0 Apr:0 Jun:0 Sep:0 Mar:0 Jul:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.63715%2045.1502&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.63715,45.1502
Col du Fer,France,173.86 km,May Jun,19,0,7,13,17,May:0 Sep:0 Jul:0 Jun:0 Mar:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.38433%2045.78453&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.38433,45.78453
Les Arcs,France,76.62 km,Jun Mar Sep,19,0,0,3,6,Jul:0 Jun:0 May:0 Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.76389%2045.5567&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.76389,45.5567
Solaure,France,77.03 km,Aug Sep Apr Jun Jul Oct May Feb Mar,18,0,0,6,7,Aug:0 Apr:0 Sep:0 Jul:0 Oct:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.353888%2044.691442&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.353888,44.691442
Vuache,France,28.52 km,Sep Oct,17,0,0,0,3,Oct:0 Sep:0 Jun:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.946953%2046.051492&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.946953,46.051492
Baou de la G...,France,109.5 km,Sep Oct Jun,17,0,2,11,16,Oct:0 Sep:0 Jun:0 Dec:0 Mar:0 Jan:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.149767%2043.756417&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.149767,43.756417
Mison,France,10.57 km,Aug Jun,17,0,0,0,0,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.8359%2044.2796&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.8359,44.2796
Les Brasses,France,69.26 km,Jun Aug May Apr Oct Mar Jul,15,0,0,1,6,Jun:0 Apr:0 Oct:0 Aug:0 Mar:0 May:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.44398%2046.16665&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.44398,46.16665
Col du Gollet,France,40.21 km,Jun Jul,14,0,0,0,2,Jun:1 Jul:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.45505%2045.4464&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.45505,45.4464
Collette de ...,France,5.98 km,Dec Jan,14,0,0,0,0,Dec:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.9585%2044.795383&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.9585,44.795383
La Lavina,France,71.43 km,May Sep Aug Apr Feb Mar,14,0,0,2,3,May:0 Apr:0 Sep:0 Aug:0 Mar:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.41355%2043.86693&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.41355,43.86693
Le Mole,France,29.73 km,Oct Jan Jul May,14,0,0,0,6,Oct:0 Sep:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.45708%2046.1051&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.45708,46.1051
