site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Montasio,Italy,176.63 km,Aug Jul Jun May Apr,121,0,18,48,74,Aug:2 Jun:1 Jul:1 Apr:0 May:0 Sep:0 Nov:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.42572%2046.42143&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.42572,46.42143
Malga campo,Italy,115.57 km,May,119,0,5,53,87,Aug:1 Jun:0 May:0 Jul:0 Oct:0 Sep:0 Apr:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.91482%2045.81015&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.91482,45.81015
Galbiga,Italy,93.84 km,Aug,118,0,0,9,45,Aug:2 Jun:1 Oct:0 Jul:0 Sep:0 May:0 Apr:0 Nov:0 Mar:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.16035%2046.01185&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.16035,46.01185
Casere Ere,Italy,129.73 km,Jun Jul May Aug Apr Mar Sep,116,0,8,53,98,Jun:1 May:1 Jul:1 Aug:0 Apr:0 Sep:0 Mar:0 Nov:0 Oct:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.0156%2046.123767&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.0156,46.123767
Mottolino,Italy,26.2 km,Jul Aug Mar Jan Feb Dec Jun Apr Sep May,116,0,0,0,2,Jul:1 Dec:1 Jan:1 Sep:0 Mar:0 Aug:0 Jun:0 Apr:0 Feb:0 May:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.15842%2046.52595&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.15842,46.52595
Nevegal,Italy,203.02 km,Jul Aug Apr Mar Jun May,116,1,50,82,113,Aug:1 Jul:0 Jun:0 Apr:0 Mar:0 May:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.299787%2046.072178&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.299787,46.072178
Val Secca,Italy,311.83 km,Jul,115,15,50,78,100,Aug:1 Jul:0 Jun:0 Oct:0 May:0 Sep:0 Dec:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.9259%2046.546967&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.9259,46.546967
Monte Jama,Italy,115.08 km,Mar Apr Oct May Sep Jun Dec Feb Jul Nov Aug Jan,113,0,2,11,37,Mar:1 Apr:1 Oct:0 Feb:0 May:0 Sep:0 Jun:0 Nov:0 Aug:0 Dec:0 Jan:0 Jul:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.32985%2046.406767&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.32985,46.406767
Monte Piana,Italy,63.74 km,Oct Sep,113,0,0,7,36,Sep:2 Oct:1 Nov:0 Aug:0 Jul:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.25085%2046.61185&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.25085,46.61185
Vedetta,Italy,180.33 km,May Aug Nov Apr Jul Oct Jan Mar Jun Sep Dec,113,0,17,31,60,May:1 Aug:0 Oct:0 Mar:0 Apr:0 Jun:0 Dec:0 Nov:0 Sep:0 Jul:0 Jan:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.841153%2045.881423&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.841153,45.881423
Antey,Italy,35.94 km,Aug Jun Jul Apr May Sep Oct,111,0,0,0,10,Aug:2 Jul:1 Jun:1 Apr:1 Sep:1 Oct:1 May:0 Nov:0 Mar:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.6084%2045.81428&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.6084,45.81428
Col di Tenda,Italy,51.16 km,Jul Aug Jun Sep,111,0,0,1,36,Jul:3 Aug:1 Jun:0 Sep:0 Nov:0 Oct:0 Jan:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.56798%2044.15023&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.56798,44.15023
Klein Matter...,Italy,237.81 km,Jun Aug Sep Jul Apr Mar May Nov Oct Dec,110,4,26,43,60,Jun:1 Aug:1 Sep:1 Jul:1 Apr:0 Mar:0 Nov:0 May:0 Oct:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.73117%2045.93462&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.73117,45.93462
Scanapa,Italy,115.97 km,Oct Aug,109,0,1,6,21,Aug:2 Oct:0 Jul:0 Jan:0 Jun:0 Nov:0 Sep:0 Feb:0 Dec:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.08843%2045.9191&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.08843,45.9191
Grigna sette...,Italy,136.44 km,Mar Oct Jun May Sep Aug Jul Apr Feb Jan,107,0,30,74,88,Oct:1 Mar:1 Sep:0 Nov:0 Jun:0 May:0 Jan:0 Apr:0 Aug:0 Jul:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.40543%2045.94245&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.40543,45.94245
Bellon,Italy,128.68 km,Apr Feb Mar May Jan Dec Oct Nov Aug Sep Jul,106,0,7,20,36,Feb:1 Mar:1 Apr:1 Dec:0 Jan:0 Oct:0 May:0 Nov:0 Sep:0 Aug:0 Jul:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.228995%2045.72973&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.228995,45.72973
